DrugName	DrugBank	SMILES
promethazine	DB01069	CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C
zidovudine	DB00495	CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-]
ramipril	DB00178	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)O
nitrofurantoin	DB00698	C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-]
aminophylline	DB01223	CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N
glipizide	DB01067	CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
topiramate	DB00273	CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C
ergotamine	DB00696	C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C
glucosamine	DB01296	C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O
moxonidine	DB09242	CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC
lorazepam	DB00186	C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
methylphenidate	DB00959	COC(=O)C(C1CCCCN1)C2=CC=CC=C2
terazosin	DB01162	COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC
trazodone	DB00656	C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl
bromocriptine	DB01200	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O
cyclizine	DB01176	CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3
allopurinol	DB00437	C1=NNC2=C1C(=O)NC=N2
betamethasone	DB00443	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
cilostazol	DB01166	C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4
imidapril	DB11783	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@@H](CN(C2=O)C)C(=O)O
niacin	DB00627	C1=CC(=CN=C1)C(=O)O
erythropoietin	DB00016	CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NN=N[N-]4)CO)Cl.[K+]
methocarbamol	DB00423	COC1=CC=CC=C1OCC(COC(=O)N)O
nicorandil	DB09220	C1=CC(=CN=C1)C(=O)NCCO[N+](=O)[O-]
ibandronate	DB00710	CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O
anastrozole	DB01217	CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
magnesium trisilicate	DB09281	[O-][Si](=O)O[Si]([O-])([O-])O[Si](=O)[O-].[Mg+2].[Mg+2]
hydralazine	DB01275	C1=CC=C2C(=C1)C=NN=C2NN
naratriptan	DB00952	CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C
venlafaxine	DB00285	CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
carvedilol	DB01136	COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
magnesium carbonate	DB09481	C(=O)([O-])[O-].[Mg+2]
repaglinide	DB00912	CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O
pioglitazone	DB01132	CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3
pseudoephedrine	DB00852	C[C@@H]([C@H](C1=CC=CC=C1)O)NC
emtricitabine	DB00879	C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F
hydroxyzine	DB00557	C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
mebeverine	DB12554	CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC
acamprosate	DB00659	CC(=O)NCCCS(=O)(=O)O
theophylline	DB00277	CN1C2=C(C(=O)N(C1=O)C)NC=N2
flecainide	DB01195	C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
xipamide	DB13803	CC1=C(C(=CC=C1)C)NC(=O)C2=CC(=C(C=C2O)Cl)S(=O)(=O)N
nabumetone	DB00461	CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC
propranolol	DB00571	CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
trihexyphenidyl	DB00376	C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O
menthol	DB00825	CC1CCC(C(C1)O)C(C)C
calcium	DB01373	[Ca]
fluorouracil	DB00544	C1=C(C(=O)NC(=O)N1)F
aluminum hydroxide	DB06723	[OH-].[OH-].[OH-].[Al+3]
alprostadil	DB00770	CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O
cinacalcet	DB01012	C[C@H](C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F
lacidipine	DB09236	CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2/C=C/C(=O)OC(C)(C)C)C(=O)OCC)C)C
zolpidem	DB00425	CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C
sildenafil	DB00203	CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
propantheline	DB00782	CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C
diphenhydramine	DB01075	CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
nizatidine	DB00585	CN/C(=C\[N+](=O)[O-])/NCCSCC1=CSC(=N1)CN(C)C
misoprostol	DB00929	CCCCC(C)(C/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)OC)O)O
dipyridamole	DB00975	C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
tolbutamide	DB01124	CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C
reboxetine	DB00234	CCOC1=CC=CC=C1O[C@@H]([C@H]2CNCCO2)C3=CC=CC=C3
dicycloverine hydrochloride	DB00804	CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl
minocycline	DB01017	CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C
warfarin	DB00682	CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
sulpiride	DB00391	CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC
cupric sulfate	DB06778	[O-]S(=O)(=O)[O-].[Cu+2]
methylprednisolone	DB09543	C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O
tolterodine	DB01036	CC1=CC(=C(C=C1)O)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2
cefradine	DB01333	CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CCC=CC3)N)SC1)C(=O)O
cyproterone acetate	DB04839	CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)[C@@H]5C[C@@H]5[C@]34C)Cl)C)OC(=O)C
clomipramine	DB01242	CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
dexamethasone	DB01234	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C
ergocalciferol	DB00153	C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
levetiracetam	DB01202	CC[C@@H](C(=O)N)N1CCCC1=O
fosamprenavir	DB01319	CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)OP(=O)(O)O)S(=O)(=O)C3=CC=C(C=C3)N
colchicine	DB01394	CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
perphenazine	DB00850	C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
pilocarpine	DB01085	CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C
exemestane	DB00990	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C
naftidrofuryl oxalate	DB13588	CCN(CC)CCOC(=O)C(CC1CCCO1)CC2=CC=CC3=CC=CC=C32.C(=O)(C(=O)O)O
phenytoin	DB00252	C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
diltiazem	DB00343	CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC
simethicone	DB09512	CO[Si](C)(C)O[Si](C)(C)C.O=[Si]=O
omeprazole	DB00338	CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
fluticasone propionate	DB00588	CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF
folic acid	DB00158	C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
amantadine	DB00915	C1C2CC3CC1CC(C2)(C3)N
neomycin	DB00994	C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N
prazosin	DB00457	COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC
brimonidine	DB00484	C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
cyclophosphamide	DB00531	C1CNP(=O)(OC1)N(CCCl)CCCl
epinephrine	DB00668	CNC[C@@H](C1=CC(=C(C=C1)O)O)O
mefenamic acid	DB00784	CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C
felodipine	DB01023	CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
dimethicone	DB11074	C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
tiaprofenic acid	DB01600	CC(C1=CC=C(S1)C(=O)C2=CC=CC=C2)C(=O)O
brinzolamide	DB01194	CCN[C@H]1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC
flurandrenolide	DB00846	C[C@]12CCC(=O)C=C1[C@H](C[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CO)C)O)F
carbamazepine	DB00564	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
ethosuximide	DB00593	CCC1(CC(=O)NC1=O)C
valsartan	DB00177	CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O
lormetazepam	DB13872	CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3Cl
triamterene	DB00384	C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N
aciclovir	DB00787	C1=NC2=C(N1COCCO)N=C(NC2=O)N
bimatoprost	DB00905	CCNC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@H](CCC2=CC=CC=C2)O)O)O
calcitriol	DB00136	C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
zopiclone	DB01198	CN1CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl
bisacodyl	DB09020	CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3
fenofibrate	DB01039	CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
frovatriptan	DB00998	CN[C@@H]1CCC2=C(C1)C3=C(N2)C=CC(=C3)C(=O)N
abacavir	DB01048	C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO
alfacalcidol	DB01436	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
cefadroxil	DB01140	CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O
didanosine	DB00900	C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2N=CNC3=O
escitalopram	DB01175	CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
gemfibrozil	DB01241	CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
formoterol	DB00983	CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O
lercanidipine	DB00528	CC1=C(C(C(=C(N1)C)C(=O)OC(C)(C)CN(C)CCC(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC
betahistine	DB06698	CNCCC1=CC=CC=N1
perindopril	DB00790	CCC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O
morphine	DB00295	CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O
magnesium hydroxide	DB09104	[OH-].[OH-].[Mg+2]
digoxin	DB00390	C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
chlorphenamine	DB01114	CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
colestipol	DB00375	C1C(O1)CCl.C(CNCCNCCNCCN)N
carbocisteine	DB04339	C([C@@H](C(=O)O)N)SCC(=O)O
etoricoxib	DB01628	CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C
hydroxychloroquine	DB01611	CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO
difluocortolone	DB09095	C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@H]1C(=O)CO)C)O)F)C)F
ropinirole	DB00268	CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
cinchocaine	DB00527	CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC
fluocinolone acetonide	DB00591	C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O
pramipexole	DB00413	CCCN[C@H]1CCC2=C(C1)SC(=N2)N
risperidone	DB00734	CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
levothyroxine	DB00451	C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N
fentanyl	DB00813	CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
prednisolone	DB00860	C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O
scopolamine butylbromide	DB09300	CCCC[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-]
telmisartan	DB00966	CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C
imatinib	DB00619	CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
lopinavir	DB01601	CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O
rifampicin	DB01045	C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C
alverine	DB01616	CCN(CCCC1=CC=CC=C1)CCCC2=CC=CC=C2
ritonavir	DB00503	CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O
trimethoprim	DB00440	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
triamcinolone	DB00620	C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O
nebivolol	DB04861	C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O
methotrexate	DB00563	CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
tranylcypromine	DB00752	C1C(C1N)C2=CC=CC=C2
azelastine	DB00972	CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl
lisinopril	DB00722	C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O
estrone sulfate	DB04574	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
nateglinide	DB00731	CC(C)C1CCC(CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(=O)O
mefloquine	DB00358	C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
indoramin	DB08950	C1CN(CCC1NC(=O)C2=CC=CC=C2)CCC3=CNC4=CC=CC=C43
cyclopenthiazide	DB13532	C1CCC(C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl
pregabalin	DB00230	CC(C)C[C@@H](CC(=O)O)CN
desmopressin	DB00035	C1C[C@H](N(C1)C(=O)[C@@H]2CSSCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)N[C@H](CCCN=C(N)N)C(=O)NCC(=O)N
acemetacin	DB13783	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O
oxycodone	DB00497	CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O
bupropion	DB01156	CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
tiotropium	DB01409	C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)C(C4=CC=CS4)(C5=CC=CS5)O)C
thiamine	DB00152	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
polymyxin b sulfate	DB00781	CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC2=CC=CC=C2)CC(C)C)CCN)CCN)C(C)O.OS(=O)(=O)O
candesartan	DB13919	CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
fludarabine	DB01073	C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)F)N
tibolone	DB09070	C[C@@H]1CC2=C(CCC(=O)C2)[C@@H]3[C@@H]1[C@@H]4CC[C@]([C@]4(CC3)C)(C#C)O
gliclazide	DB01120	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2
mycophenolic acid	DB01024	CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O
ciprofibrate	DB09064	CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl
naproxen	DB00788	C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
acebutolol	DB01193	CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
ursodeoxycholic acid	DB01586	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
diclofenac	DB00586	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
caffeine	DB00201	CN1C=NC2=C1C(=O)N(C(=O)N2C)C
risedronate	DB00884	C1=CC(=CN=C1)CC(O)(P(=O)(O)O)P(=O)(O)O
cimetidine	DB00501	CC1=C(N=CN1)CSCCNC(=NC)NC#N
chloroquine	DB00608	CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
captopril	DB01197	C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
eletriptan	DB00216	CN1CCC[C@@H]1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4
promazine	DB00420	CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31
